Identifier	Period	Measure
S022	2011-01-01	2901
S022	2011-01-08	1578
S022	2011-01-15	1556
S022	2011-01-22	1386
S022	2011-01-29	1663
S022	2011-02-05	1683
S022	2011-02-12	1773
S022	2011-02-19	1974
S022	2011-02-26	1862
S022	2011-03-05	2213
S022	2011-03-12	2244
S022	2011-03-19	2173
S022	2011-03-26	2322
S022	2011-04-02	1883
S022	2011-04-09	2166
S022	2011-04-16	2134
S022	2011-04-23	2034
S022	2011-04-30	2082
S022	2011-05-07	2168
S022	2011-05-14	2272
S022	2011-05-21	2386
S022	2011-05-28	2654
S022	2011-06-04	1838
S022	2011-06-11	2094
S022	2011-06-18	2565
S022	2011-06-25	2373
S022	2011-07-02	2418
S022	2011-07-09	2546
S022	2011-07-16	2669
S022	2011-07-23	1953
S022	2011-07-30	1797
S022	2011-08-06	1744
S022	2011-08-13	1567
S022	2011-08-20	1866
S022	2011-08-27	2173
S022	2011-09-03	2202
S022	2011-09-10	2342
S022	2011-09-17	2345
S022	2011-09-24	2129
S022	2011-10-01	2047
S022	2011-10-08	1985
S023	2010-01-02	2905
S023	2010-01-09	1425
S023	2010-01-16	1507
S023	2010-01-23	1436
S023	2010-01-30	1615
S023	2010-02-06	1659
S023	2010-02-13	1630
S023	2010-02-20	2199
S023	2010-02-27	1722
S023	2010-03-06	2059
S023	2010-03-13	2043
S023	2010-03-20	2031
S023	2010-03-27	1978
S023	2010-04-03	2115
S023	2010-04-10	1889
S023	2010-04-17	2116
S023	2010-04-24	1814
S023	2010-05-01	2194
S023	2010-05-08	2106
S023	2010-05-15	2038
S023	2010-05-22	1963
S023	2010-05-29	2426
S023	2010-06-05	1758
S023	2010-06-12	2146
S023	2010-06-19	2232
S023	2010-06-26	2047
S023	2010-07-03	2200
S023	2010-07-10	2419
S023	2010-07-17	2348
S023	2010-07-24	1800
S023	2010-07-31	1791
S023	2010-08-07	1570
S023	2010-08-14	1557
S023	2010-08-21	1797
S023	2010-08-28	2109
S023	2010-09-04	2417
S023	2010-09-11	2322
S023	2010-09-18	2213
S023	2010-09-25	1885
S023	2010-10-02	2095
S023	2010-10-09	1934
S023	2010-10-16	1784
S023	2010-10-23	1981
S023	2010-10-30	2123
S023	2010-11-06	2217
S023	2010-11-13	2222
S023	2010-11-20	1989
S023	2010-11-27	2198
S023	2010-12-04	2096
S023	2010-12-11	2026
S023	2010-12-18	2158
S023	2010-12-25	1862
S023	2011-01-01	2694
S023	2011-01-08	1430
S023	2011-01-15	1407
S023	2011-01-22	1494
S023	2011-01-29	1499
S023	2011-02-05	1599
S023	2011-02-12	1562
S023	2011-02-19	2026
S023	2011-02-26	1816
S023	2011-03-05	1961
S023	2011-03-12	1823
S023	2011-03-19	1974
S023	2011-03-26	2114
S023	2011-04-02	1773
S023	2011-04-09	1912
S023	2011-04-16	2013
S023	2011-04-23	1855
S023	2011-04-30	1860
S023	2011-05-07	1860
S023	2011-05-14	1881
S023	2011-05-21	2191
S023	2011-05-28	2581
S023	2011-06-04	1807
S023	2011-06-11	1873
S023	2011-06-18	2276
S023	2011-06-25	2028
S023	2011-07-02	2066
S023	2011-07-09	2255
S023	2011-07-16	2499
S023	2011-07-23	1805
S023	2011-07-30	1598
S023	2011-08-06	1617
S023	2011-08-13	1651
S023	2011-08-20	1724
S023	2011-08-27	2068
S023	2011-09-03	2165
S023	2011-09-10	2195
S023	2011-09-17	2091
S023	2011-09-24	2070
S023	2011-10-01	1934
S023	2011-10-08	1711
S026	2010-01-02	1068
S026	2010-01-09	1514
S026	2010-01-16	2211
S026	2010-01-23	2446
S026	2010-01-30	2441
S026	2010-02-06	2661
S026	2010-02-13	2603
S026	2010-02-20	2650
S026	2010-02-27	2414
S026	2010-03-06	2851
S026	2010-03-13	2709
S026	2010-03-20	1295
S026	2010-03-27	1584
S026	2010-04-03	2251
S026	2010-04-10	2263
S026	2010-04-17	2293
S026	2010-04-24	2507
S026	2010-05-01	2535
S026	2010-05-08	2403
S026	2010-05-15	2252
S026	2010-05-22	1577
S026	2010-05-29	1665
S026	2010-06-05	2814
S026	2010-06-12	2778
S026	2010-06-19	2972
S026	2010-06-26	1513
S026	2010-07-03	1156
S026	2010-07-10	1199
S026	2010-07-17	1329
S026	2010-07-24	1270
S026	2010-07-31	1283
S026	2010-08-07	1418
S026	2010-08-14	1262
S026	2010-08-21	2468
S026	2010-08-28	2553
S026	2010-09-04	3124
S026	2010-09-11	2876
S026	2010-09-18	2895
S026	2010-09-25	3063
S026	2010-10-02	2973
S026	2010-10-09	3094
S026	2010-10-16	2983
S026	2010-10-23	2988
S026	2010-10-30	3287
S026	2010-11-06	3101
S026	2010-11-13	2679
S026	2010-11-20	3145
S026	2010-11-27	1130
S026	2010-12-04	1878
S026	2010-12-11	1754
S026	2010-12-18	1275
S026	2010-12-25	849
S026	2011-01-01	1089
S026	2011-01-08	1690
S026	2011-01-15	2061
S026	2011-01-22	2546
S026	2011-01-29	3024
S026	2011-02-05	2788
S026	2011-02-12	2692
S026	2011-02-19	2820
S026	2011-02-26	2978
S026	2011-03-05	2907
S026	2011-03-12	2986
S026	2011-03-19	1313
S026	2011-03-26	1936
S026	2011-04-02	2493
S026	2011-04-09	2837
S026	2011-04-16	2295
S026	2011-04-23	2559
S026	2011-04-30	2775
S026	2011-05-07	2742
S026	2011-05-14	2724
S026	2011-05-21	1793
S026	2011-05-28	1921
S026	2011-06-04	2834
S026	2011-06-11	3186
S026	2011-06-18	3029
S026	2011-06-25	1595
S026	2011-07-02	1240
S026	2011-07-09	1344
S026	2011-07-16	1363
S026	2011-07-23	1418
S026	2011-07-30	1471
S026	2011-08-06	1435
S026	2011-08-13	1412
S026	2011-08-20	2563
S026	2011-08-27	2602
S026	2011-09-03	3217
S026	2011-09-10	3407
S026	2011-09-17	3312
S026	2011-09-24	2997
S026	2011-10-01	3477
S026	2011-10-08	3357
S027	2010-01-02	1043
S027	2010-01-09	1299
S027	2010-01-16	1767
S027	2010-01-23	2223
S027	2010-01-30	2155
S027	2010-02-06	2317
S027	2010-02-13	2431
S027	2010-02-20	2338
S027	2010-02-27	2140
S027	2010-03-06	2210
S027	2010-03-13	2281
S027	2010-03-20	1208
S027	2010-03-27	1455
S027	2010-04-03	2054
S027	2010-04-10	2325
S027	2010-04-17	2149
S027	2010-04-24	2320
S027	2010-05-01	2327
S027	2010-05-08	2221
S027	2010-05-15	2187
S027	2010-05-22	1607
S027	2010-05-29	1473
S027	2010-06-05	2720
S027	2010-06-12	2695
S027	2010-06-19	2635
S027	2010-06-26	1237
S027	2010-07-03	1040
S027	2010-07-10	1055
S027	2010-07-17	1180
S027	2010-07-24	1298
S027	2010-07-31	1274
S027	2010-08-07	1167
S027	2010-08-14	1183
S027	2010-08-21	2051
S027	2010-08-28	2172
S027	2010-09-04	2564
S027	2010-09-11	2894
S027	2010-09-18	2558
S027	2010-09-25	2755
S027	2010-10-02	2512
S027	2010-10-09	2727
S027	2010-10-16	2810
S027	2010-10-23	2890
S027	2010-10-30	2589
S027	2010-11-06	2644
S027	2010-11-13	2874
S027	2010-11-20	2837
S027	2010-11-27	1046
S027	2010-12-04	1706
S027	2010-12-11	1455
S027	2010-12-18	1105
S027	2010-12-25	870
S027	2011-01-01	1065
S027	2011-01-08	1438
S027	2011-01-15	1960
S027	2011-01-22	2333
S027	2011-01-29	2347
S027	2011-02-05	2467
S027	2011-02-12	2376
S027	2011-02-19	2720
S027	2011-02-26	2800
S027	2011-03-05	2914
S027	2011-03-12	2890
S027	2011-03-19	1259
S027	2011-03-26	1637
S027	2011-04-02	2118
S027	2011-04-09	2563
S027	2011-04-16	2293
S027	2011-04-23	2331
S027	2011-04-30	2331
S027	2011-05-07	2391
S027	2011-05-14	2509
S027	2011-05-21	1635
S027	2011-05-28	1770
S027	2011-06-04	2631
S027	2011-06-11	3038
S027	2011-06-18	3018
S027	2011-06-25	1581
S027	2011-07-02	1103
S027	2011-07-09	1175
S027	2011-07-16	1385
S027	2011-07-23	1267
S027	2011-07-30	1518
S027	2011-08-06	1307
S027	2011-08-13	1283
S027	2011-08-20	2306
S027	2011-08-27	2520
S027	2011-09-03	2966
S027	2011-09-10	2738
S027	2011-09-17	2966
S027	2011-09-24	3015
S027	2011-10-01	3294
S027	2011-10-08	2851
S028	2010-01-02	1113
S028	2010-01-09	1477
S028	2010-01-16	2062
S028	2010-01-23	2654
S028	2010-01-30	2578
S028	2010-02-06	2652
S028	2010-02-13	2571
S028	2010-02-20	2487
S028	2010-02-27	2469
S028	2010-03-06	2702
S028	2010-03-13	2659
S028	2010-03-20	1314
S028	2010-03-27	1790
S028	2010-04-03	2022
S028	2010-04-10	2231
S028	2010-04-17	2381
S028	2010-04-24	2429
S028	2010-05-01	2503
S028	2010-05-08	2544
S028	2010-05-15	2393
S028	2010-05-22	1631
S028	2010-05-29	1624
S028	2010-06-05	2674
S028	2010-06-12	3008
S028	2010-06-19	2871
S028	2010-06-26	1630
S028	2010-07-03	1047
S028	2010-07-10	1082
S028	2010-07-17	1345
S028	2010-07-24	1328
S028	2010-07-31	1229
S028	2010-08-07	1210
S028	2010-08-14	1148
S028	2010-08-21	2253
S028	2010-08-28	2474
S028	2010-09-04	2841
S028	2010-09-11	3134
S028	2010-09-18	2886
S028	2010-09-25	2778
S028	2010-10-02	3018
S028	2010-10-09	2997
S028	2010-10-16	2756
S028	2010-10-23	2869
S028	2010-10-30	2988
S028	2010-11-06	3000
S028	2010-11-13	2847
S028	2010-11-20	2685
S028	2010-11-27	1196
S028	2010-12-04	1781
S028	2010-12-11	1513
S028	2010-12-18	1090
S028	2010-12-25	867
S028	2011-01-01	1014
S028	2011-01-08	1541
S028	2011-01-15	2099
S028	2011-01-22	2726
S028	2011-01-29	2600
S028	2011-02-05	2648
S028	2011-02-12	2764
S028	2011-02-19	2656
S028	2011-02-26	2608
S028	2011-03-05	2638
S028	2011-03-12	2715
S028	2011-03-19	1193
S028	2011-03-26	1735
S028	2011-04-02	2258
S028	2011-04-09	2531
S028	2011-04-16	2350
S028	2011-04-23	2400
S028	2011-04-30	2267
S028	2011-05-07	2535
S028	2011-05-14	2559
S028	2011-05-21	1798
S028	2011-05-28	1809
S028	2011-06-04	2569
S028	2011-06-11	3149
S028	2011-06-18	2899
S028	2011-06-25	1539
S028	2011-07-02	1135
S028	2011-07-09	1169
S028	2011-07-16	1470
S028	2011-07-23	1391
S028	2011-07-30	1289
S028	2011-08-06	1361
S028	2011-08-13	1375
S028	2011-08-20	2300
S028	2011-08-27	2635
S028	2011-09-03	2958
S028	2011-09-10	2857
S028	2011-09-17	3183
S028	2011-09-24	3387
S028	2011-10-01	2936
S028	2011-10-08	3123
S029	2010-01-02	2920
S029	2010-01-09	1505
S029	2010-01-16	1509
S029	2010-01-23	1600
S029	2010-01-30	1793
S029	2010-02-06	1847
S029	2010-02-13	1711
S029	2010-02-20	2243
S029	2010-02-27	1994
S029	2010-03-06	2352
S029	2010-03-13	2236
S029	2010-03-20	2152
S029	2010-03-27	2324
S029	2010-04-03	2304
S029	2010-04-10	2339
S029	2010-04-17	2268
S029	2010-04-24	2157
S029	2010-05-01	2086
S029	2010-05-08	2379
S029	2010-05-15	2363
S029	2010-05-22	2490
S029	2010-05-29	2388
S029	2010-06-05	2027
S029	2010-06-12	2358
S029	2010-06-19	2654
S029	2010-06-26	2535
S029	2010-07-03	2369
S029	2010-07-10	2798
S029	2010-07-17	2548
S029	2010-07-24	1993
S029	2010-07-31	2178
S029	2010-08-07	1805
S029	2010-08-14	1956
S029	2010-08-21	2094
S029	2010-08-28	2428
S029	2010-09-04	2510
S029	2010-09-11	2606
S029	2010-09-18	2590
S029	2010-09-25	2251
S029	2010-10-02	2480
S029	2010-10-09	2161
S029	2010-10-16	1986
S029	2010-10-23	2440
S029	2010-10-30	2250
S029	2010-11-06	2205
S029	2010-11-13	2283
S029	2010-11-20	2204
S029	2010-11-27	2719
S029	2010-12-04	2245
S029	2010-12-11	2034
S029	2010-12-18	2487
S029	2010-12-25	2433
S029	2011-01-01	2765
S029	2011-01-08	1746
S029	2011-01-15	1753
S029	2011-01-22	1553
S029	2011-01-29	2079
S029	2011-02-05	1764
S029	2011-02-12	1881
S029	2011-02-19	2291
S029	2011-02-26	2238
S029	2011-03-05	2194
S029	2011-03-12	2289
S029	2011-03-19	2170
S029	2011-03-26	2445
S029	2011-04-02	2416
S029	2011-04-09	2336
S029	2011-04-16	2258
S029	2011-04-23	2240
S029	2011-04-30	2368
S029	2011-05-07	2194
S029	2011-05-14	2604
S029	2011-05-21	2456
S029	2011-05-28	2827
S029	2011-06-04	2066
S029	2011-06-11	2338
S029	2011-06-18	2834
S029	2011-06-25	2681
S029	2011-07-02	2504
S029	2011-07-09	2714
S029	2011-07-16	2967
S029	2011-07-23	2358
S029	2011-07-30	2222
S029	2011-08-06	1950
S029	2011-08-13	1928
S029	2011-08-20	2158
S029	2011-08-27	2160
S029	2011-09-03	2707
S029	2011-09-10	2568
S029	2011-09-17	2676
S029	2011-09-24	2579
S029	2011-10-01	2384
S029	2011-10-08	2225
S033	2010-01-02	1805
S033	2010-01-09	1171
S033	2010-01-16	1285
S033	2010-01-23	1074
S033	2010-01-30	1126
S033	2010-02-06	1291
S033	2010-02-13	1151
S033	2010-02-20	1121
S033	2010-02-27	1141
S033	2010-03-06	1047
S033	2010-03-13	1135
S033	2010-03-20	1083
S033	2010-03-27	1432
S033	2010-04-03	1932
S033	2010-04-10	1473
S033	2010-04-17	1374
S033	2010-04-24	1371
S033	2010-05-01	1367
S033	2010-05-08	1353
S033	2010-05-15	1971
S033	2010-05-22	2361
S033	2010-05-29	2342
S033	2010-06-05	2405
S033	2010-06-12	2649
S033	2010-06-19	2889
S033	2010-06-26	2874
S033	2010-07-03	2867
S033	2010-07-10	2917
S033	2010-07-17	2981
S033	2010-07-24	3300
S033	2010-07-31	3460
S033	2010-08-07	3509
S033	2010-08-14	3481
S033	2010-08-21	3336
S033	2010-08-28	3543
S033	2010-09-04	2553
S033	2010-09-11	2366
S033	2010-09-18	1964
S033	2010-09-25	1822
S033	2010-10-02	1704
S033	2010-10-09	1691
S033	2010-10-16	1907
S033	2010-10-23	1645
S033	2010-10-30	1880
S033	2010-11-06	1625
S033	2010-11-13	1286
S033	2010-11-20	1177
S033	2010-11-27	1324
S033	2010-12-04	1202
S033	2010-12-11	1147
S033	2010-12-18	1236
S033	2010-12-25	1201
S033	2011-01-01	2047
S033	2011-01-08	1202
S033	2011-01-15	1271
S033	2011-01-22	1246
S033	2011-01-29	1167
S033	2011-02-05	1206
S033	2011-02-12	1290
S033	2011-02-19	1205
S033	2011-02-26	1269
S033	2011-03-05	1262
S033	2011-03-12	1211
S033	2011-03-19	1247
S033	2011-03-26	1554
S033	2011-04-02	1995
S033	2011-04-09	1975
S033	2011-04-16	1825
S033	2011-04-23	1917
S033	2011-04-30	1768
S033	2011-05-07	1592
S033	2011-05-14	1919
S033	2011-05-21	2385
S033	2011-05-28	2269
S033	2011-06-04	2520
S033	2011-06-11	2419
S033	2011-06-18	2689
S033	2011-06-25	2981
S033	2011-07-02	2784
S033	2011-07-09	2668
S033	2011-07-16	2819
S033	2011-07-23	3268
S033	2011-07-30	3632
S033	2011-08-06	3291
S033	2011-08-13	3191
S033	2011-08-20	3092
S033	2011-08-27	3283
S033	2011-09-03	2604
S033	2011-09-10	2548
S033	2011-09-17	2068
S033	2011-09-24	1971
S033	2011-10-01	1860
S033	2011-10-08	1713
S035	2010-01-02	2408
S035	2010-01-09	1306
S035	2010-01-16	1108
S035	2010-01-23	1182
S035	2010-01-30	1451
S035	2010-02-06	1467
S035	2010-02-13	1412
S035	2010-02-20	1737
S035	2010-02-27	1576
S035	2010-03-06	1784
S035	2010-03-13	1760
S035	2010-03-20	2029
S035	2010-03-27	1675
S035	2010-04-03	1680
S035	2010-04-10	1797
S035	2010-04-17	1834
S035	2010-04-24	1745
S035	2010-05-01	1741
S035	2010-05-08	1721
S035	2010-05-15	1840
S035	2010-05-22	1867
S035	2010-05-29	2044
S035	2010-06-05	1646
S035	2010-06-12	1830
S035	2010-06-19	2038
S035	2010-06-26	1863
S035	2010-07-03	2041
S035	2010-07-10	2205
S035	2010-07-17	2186
S035	2010-07-24	1493
S035	2010-07-31	1441
S035	2010-08-07	1439
S035	2010-08-14	1382
S035	2010-08-21	1641
S035	2010-08-28	1603
S035	2010-09-04	2058
S035	2010-09-11	1852
S035	2010-09-18	1867
S035	2010-09-25	1731
S035	2010-10-02	1652
S035	2010-10-09	1550
S035	2010-10-16	1485
S035	2010-10-23	1723
S035	2010-10-30	1627
S035	2010-11-06	1797
S035	2010-11-13	1769
S035	2010-11-20	1886
S035	2010-11-27	2009
S035	2010-12-04	1637
S035	2010-12-11	1776
S035	2010-12-18	1838
S035	2010-12-25	1751
S035	2011-01-01	2020
S035	2011-01-08	1213
S035	2011-01-15	1308
S035	2011-01-22	1195
S035	2011-01-29	1435
S035	2011-02-05	1355
S035	2011-02-12	1413
S035	2011-02-19	1651
S035	2011-02-26	1482
S035	2011-03-05	1716
S035	2011-03-12	1720
S035	2011-03-19	1783
S035	2011-03-26	1756
S035	2011-04-02	1614
S035	2011-04-09	1649
S035	2011-04-16	1656
S035	2011-04-23	1726
S035	2011-04-30	1552
S035	2011-05-07	1752
S035	2011-05-14	1671
S035	2011-05-21	1845
S035	2011-05-28	2074
S035	2011-06-04	1493
S035	2011-06-11	1605
S035	2011-06-18	1923
S035	2011-06-25	1776
S035	2011-07-02	1851
S035	2011-07-09	1848
S035	2011-07-16	1863
S035	2011-07-23	1556
S035	2011-07-30	1433
S035	2011-08-06	1294
S035	2011-08-13	1469
S035	2011-08-20	1456
S035	2011-08-27	1618
S035	2011-09-03	1861
S035	2011-09-10	1888
S035	2011-09-17	1883
S035	2011-09-24	1866
S035	2011-10-01	1813
S035	2011-10-08	1570
S036	2010-01-02	1330
S036	2010-01-09	1651
S036	2010-01-16	2133
S036	2010-01-23	2708
S036	2010-01-30	2897
S036	2010-02-06	3213
S036	2010-02-13	3025
S036	2010-02-20	3038
S036	2010-02-27	3041
S036	2010-03-06	2917
S036	2010-03-13	3086
S036	2010-03-20	1381
S036	2010-03-27	1978
S036	2010-04-03	2640
S036	2010-04-10	2480
S036	2010-04-17	2586
S036	2010-04-24	2578
S036	2010-05-01	2832
S036	2010-05-08	2732
S036	2010-05-15	2703
S036	2010-05-22	2066
S036	2010-05-29	1813
S036	2010-06-05	3394
S036	2010-06-12	3167
S036	2010-06-19	3310
S036	2010-06-26	1839
S036	2010-07-03	1211
S036	2010-07-10	1360
S036	2010-07-17	1492
S036	2010-07-24	1567
S036	2010-07-31	1385
S036	2010-08-07	1443
S036	2010-08-14	1504
S036	2010-08-21	2639
S036	2010-08-28	2789
S036	2010-09-04	3049
S036	2010-09-11	3377
S036	2010-09-18	3326
S036	2010-09-25	3459
S036	2010-10-02	3273
S036	2010-10-09	3658
S036	2010-10-16	3115
S036	2010-10-23	3402
S036	2010-10-30	3571
S036	2010-11-06	3231
S036	2010-11-13	3416
S036	2010-11-20	3371
S036	2010-11-27	1250
S036	2010-12-04	2212
S036	2010-12-11	1764
S036	2010-12-18	1227
S036	2010-12-25	926
S036	2011-01-01	1339
S036	2011-01-08	1683
S036	2011-01-15	2376
S036	2011-01-22	2885
S036	2011-01-29	2707
S036	2011-02-05	3106
S036	2011-02-12	3102
S036	2011-02-19	3212
S036	2011-02-26	2954
S036	2011-03-05	3293
S036	2011-03-12	3261
S036	2011-03-19	1734
S036	2011-03-26	2222
S036	2011-04-02	2481
S036	2011-04-09	2862
S036	2011-04-16	2776
S036	2011-04-23	2647
S036	2011-04-30	2593
S036	2011-05-07	2859
S036	2011-05-14	2694
S036	2011-05-21	2119
S036	2011-05-28	2170
S036	2011-06-04	3602
S036	2011-06-11	3352
S036	2011-06-18	3586
S036	2011-06-25	1935
S036	2011-07-02	1334
S036	2011-07-09	1275
S036	2011-07-16	1649
S036	2011-07-23	1428
S036	2011-07-30	1682
S036	2011-08-06	1676
S036	2011-08-13	1570
S036	2011-08-20	2667
S036	2011-08-27	2646
S036	2011-09-03	3312
S036	2011-09-10	3354
S036	2011-09-17	3756
S036	2011-09-24	3180
S036	2011-10-01	3274
S036	2011-10-08	3490
S037	2010-01-02	2586
S037	2010-01-09	1394
S037	2010-01-16	1353
S037	2010-01-23	1407
S037	2010-01-30	1531
S037	2010-02-06	1575
S037	2010-02-13	1647
S037	2010-02-20	2035
S037	2010-02-27	1928
S037	2010-03-06	1835
S037	2010-03-13	2159
S037	2010-03-20	2124
S037	2010-03-27	1944
S037	2010-04-03	2032
S037	2010-04-10	2052
S037	2010-04-17	2086
S037	2010-04-24	1980
S037	2010-05-01	1971
S037	2010-05-08	2289
S037	2010-05-15	2007
S037	2010-05-22	2222
S037	2010-05-29	2540
S037	2010-06-05	2001
S037	2010-06-12	2018
S037	2010-06-19	2584
S037	2010-06-26	2479
S037	2010-07-03	2362
S037	2010-07-10	2535
S037	2010-07-17	2610
S037	2010-07-24	1938
S037	2010-07-31	1833
S037	2010-08-07	1746
S037	2010-08-14	1647
S037	2010-08-21	2128
S037	2010-08-28	2064
S037	2010-09-04	2572
S037	2010-09-11	2436
S037	2010-09-18	2459
S037	2010-09-25	2176
S037	2010-10-02	2027
S037	2010-10-09	1961
S037	2010-10-16	1945
S037	2010-10-23	2449
S037	2010-10-30	2236
S037	2010-11-06	2403
S037	2010-11-13	2209
S037	2010-11-20	2433
S037	2010-11-27	2436
S037	2010-12-04	2203
S037	2010-12-11	2232
S037	2010-12-18	2476
S037	2010-12-25	2376
S037	2011-01-01	2790
S037	2011-01-08	1402
S037	2011-01-15	1522
S037	2011-01-22	1504
S037	2011-01-29	1622
S037	2011-02-05	1813
S037	2011-02-12	1811
S037	2011-02-19	2145
S037	2011-02-26	2248
S037	2011-03-05	2425
S037	2011-03-12	2192
S037	2011-03-19	2418
S037	2011-03-26	2137
S037	2011-04-02	2291
S037	2011-04-09	2537
S037	2011-04-16	2387
S037	2011-04-23	2241
S037	2011-04-30	2041
S037	2011-05-07	2375
S037	2011-05-14	2201
S037	2011-05-21	2742
S037	2011-05-28	2946
S037	2011-06-04	2113
S037	2011-06-11	2474
S037	2011-06-18	2564
S037	2011-06-25	2827
S037	2011-07-02	2760
S037	2011-07-09	2962
S037	2011-07-16	2860
S037	2011-07-23	2014
S037	2011-07-30	2052
S037	2011-08-06	1834
S037	2011-08-13	2002
S037	2011-08-20	1909
S037	2011-08-27	2313
S037	2011-09-03	2663
S037	2011-09-10	2374
S037	2011-09-17	2529
S037	2011-09-24	2552
S037	2011-10-01	2389
S037	2011-10-08	2255
S038	2010-01-02	1172
S038	2010-01-09	1761
S038	2010-01-16	2194
S038	2010-01-23	2683
S038	2010-01-30	3040
S038	2010-02-06	3232
S038	2010-02-13	2745
S038	2010-02-20	2879
S038	2010-02-27	3004
S038	2010-03-06	2953
S038	2010-03-13	3142
S038	2010-03-20	1493
S038	2010-03-27	1965
S038	2010-04-03	2696
S038	2010-04-10	2902
S038	2010-04-17	2634
S038	2010-04-24	2531
S038	2010-05-01	2812
S038	2010-05-08	3116
S038	2010-05-15	2716
S038	2010-05-22	1887
S038	2010-05-29	1920
S038	2010-06-05	3081
S038	2010-06-12	3245
S038	2010-06-19	3466
S038	2010-06-26	1809
S038	2010-07-03	1339
S038	2010-07-10	1349
S038	2010-07-17	1549
S038	2010-07-24	1560
S038	2010-07-31	1459
S038	2010-08-07	1586
S038	2010-08-14	1543
S038	2010-08-21	2464
S038	2010-08-28	2773
S038	2010-09-04	3372
S038	2010-09-11	3745
S038	2010-09-18	3557
S038	2010-09-25	3193
S038	2010-10-02	3459
S038	2010-10-09	3205
S038	2010-10-16	3452
S038	2010-10-23	3148
S038	2010-10-30	3121
S038	2010-11-06	3394
S038	2010-11-13	3521
S038	2010-11-20	3213
S038	2010-11-27	1359
S038	2010-12-04	2206
S038	2010-12-11	1879
S038	2010-12-18	1373
S038	2010-12-25	1047
S038	2011-01-01	1416
S038	2011-01-08	1912
S038	2011-01-15	2373
S038	2011-01-22	2789
S038	2011-01-29	3165
S038	2011-02-05	3333
S038	2011-02-12	3247
S038	2011-02-19	3038
S038	2011-02-26	3019
S038	2011-03-05	3235
S038	2011-03-12	2998
S038	2011-03-19	1686
S038	2011-03-26	2101
S038	2011-04-02	2660
S038	2011-04-09	2584
S038	2011-04-16	3093
S038	2011-04-23	2852
S038	2011-04-30	3028
S038	2011-05-07	2612
S038	2011-05-14	2992
S038	2011-05-21	2159
S038	2011-05-28	1953
S038	2011-06-04	3481
S038	2011-06-11	3234
S038	2011-06-18	3307
S038	2011-06-25	1921
S038	2011-07-02	1325
S038	2011-07-09	1316
S038	2011-07-16	1543
S038	2011-07-23	1440
S038	2011-07-30	1635
S038	2011-08-06	1413
S038	2011-08-13	1692
S038	2011-08-20	2702
S038	2011-08-27	2964
S038	2011-09-03	3406
S038	2011-09-10	3119
S038	2011-09-17	3579
S038	2011-09-24	3551
S038	2011-10-01	3432
S038	2011-10-08	3552
S040	2010-01-02	1009
S040	2010-01-09	1535
S040	2010-01-16	1979
S040	2010-01-23	2506
S040	2010-01-30	2603
S040	2010-02-06	2286
S040	2010-02-13	2253
S040	2010-02-20	2226
S040	2010-02-27	2362
S040	2010-03-06	2245
S040	2010-03-13	2475
S040	2010-03-20	1182
S040	2010-03-27	1519
S040	2010-04-03	1981
S040	2010-04-10	2264
S040	2010-04-17	2306
S040	2010-04-24	2184
S040	2010-05-01	2509
S040	2010-05-08	2321
S040	2010-05-15	2452
S040	2010-05-22	1769
S040	2010-05-29	1789
S040	2010-06-05	2774
S040	2010-06-12	2795
S040	2010-06-19	2631
S040	2010-06-26	1565
S040	2010-07-03	1018
S040	2010-07-10	1111
S040	2010-07-17	1281
S040	2010-07-24	1193
S040	2010-07-31	1269
S040	2010-08-07	1337
S040	2010-08-14	1267
S040	2010-08-21	2268
S040	2010-08-28	2290
S040	2010-09-04	2841
S040	2010-09-11	2619
S040	2010-09-18	2768
S040	2010-09-25	2743
S040	2010-10-02	2789
S040	2010-10-09	2839
S040	2010-10-16	2925
S040	2010-10-23	2797
S040	2010-10-30	2991
S040	2010-11-06	2764
S040	2010-11-13	2966
S040	2010-11-20	2829
S040	2010-11-27	1225
S040	2010-12-04	1787
S040	2010-12-11	1628
S040	2010-12-18	1172
S040	2010-12-25	879
S040	2011-01-01	1161
S040	2011-01-08	1513
S040	2011-01-15	2153
S040	2011-01-22	2603
S040	2011-01-29	2719
S040	2011-02-05	2687
S040	2011-02-12	2534
S040	2011-02-19	2782
S040	2011-02-26	2854
S040	2011-03-05	2604
S040	2011-03-12	2844
S040	2011-03-19	1429
S040	2011-03-26	2008
S040	2011-04-02	2210
S040	2011-04-09	2589
S040	2011-04-16	2269
S040	2011-04-23	2563
S040	2011-04-30	2641
S040	2011-05-07	2719
S040	2011-05-14	2416
S040	2011-05-21	1916
S040	2011-05-28	1864
S040	2011-06-04	3101
S040	2011-06-11	3210
S040	2011-06-18	3059
S040	2011-06-25	1783
S040	2011-07-02	1129
S040	2011-07-09	1257
S040	2011-07-16	1496
S040	2011-07-23	1304
S040	2011-07-30	1397
S040	2011-08-06	1337
S040	2011-08-13	1498
S040	2011-08-20	2588
S040	2011-08-27	2223
S040	2011-09-03	3442
S040	2011-09-10	3130
S040	2011-09-17	3134
S040	2011-09-24	2900
S040	2011-10-01	3142
S040	2011-10-08	3033
S041	2010-01-02	2711
S041	2010-01-09	1315
S041	2010-01-16	1369
S041	2010-01-23	1506
S041	2010-01-30	1631
S041	2010-02-06	1620
S041	2010-02-13	1652
S041	2010-02-20	2145
S041	2010-02-27	1642
S041	2010-03-06	1883
S041	2010-03-13	2129
S041	2010-03-20	2239
